date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:01	591114/591114	---M--	200	added ('OK')	image/jpeg	etag:%220231747f3ae1e4b0c3832332baac5d1f%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/q_auto:eco,f_auto/v1741769808/Nine_arches_bridge_1_tn9d2y.jpg	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/q_auto_eco,f_auto/v1741769808/Nine_arches_bridge_1_tn9d2y.jpg	(from https://www.booksrilankataxi.com/)
01:29:02	46196/46196	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:26%20GMT	https://www.booksrilankataxi.com/sri-lanka-tourist-destinations/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/sri-lanka-tourist-destinations/index.html	(from https://www.booksrilankataxi.com/)
01:29:02	1022306/1022306	---M--	200	added ('OK')	image/png	etag:%2286e80047e7d40c7782995c6a73b60aa7%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1744002526/2_zzxxml.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1744002526/2_zzxxml.png	(from https://www.booksrilankataxi.com/)
01:29:02	67796/67796	---M--	200	added ('OK')	image/jpeg	etag:%227621b65ed94b4ed09f5fc914740c0058%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1740111813/yala-slider1-1_i1jpkj.jpg	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1740111813/yala-slider1-1_i1jpkj.jpg	(from https://www.booksrilankataxi.com/)
01:29:02	239443/239443	---M--	200	added ('OK')	image/jpeg	etag:%22ee43c2203b73ed93f48856a6e1b920d3%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1744106704/dambulla_h02hqm.jpg	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1744106704/dambulla_h02hqm.jpg	(from https://www.booksrilankataxi.com/)
01:29:04	15354/15354	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:28%20GMT	https://www.booksrilankataxi.com/things-do-in-mirissa-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-mirissa-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:04	27399/27399	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-galle-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-galle-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:04	21484/21484	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-bentota-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-bentota-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:04	350636/350636	---M--	200	added ('OK')	image/jpeg	etag:%22a8f1df7073a36198b92e6a5a0e4f6df6%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1744108664/koneshwaram_hm10lr.jpg	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1744108664/koneshwaram_hm10lr.jpg	(from https://www.booksrilankataxi.com/)
01:29:06	24062/24062	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-dambulla-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-dambulla-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
